step,loss,val_loss,grad_norm,logits_max,n_masked,masked_ratio
0,11.177213668823242,11.199897766113281,1.8872459606143246,2.1444027423858643,618,0.19839486356340288
1000,5.520160806179047,5.954213714599609,2.088362513622659,13.893165588378906,705,0.20270270270270271
2000,4.32746450805664,4.5426085710525514,2.4700704653189445,15.88874340057373,640,0.20195645313979174
3000,3.4954859700202943,4.460848331451416,2.2225713025863922,18.25204086303711,654,0.1923529411764706
4000,3.189768042564392,4.218009424209595,2.4675466259357868,20.216873168945312,664,0.19263127357122134
5000,3.011007269382477,3.985105800628662,2.9067211971377502,19.779890060424805,690,0.19187986651835373
6000,2.89383106303215,3.7854982137680055,3.1676561512898447,20.82097053527832,735,0.20365752285951788
7000,2.7978081998825073,3.909809422492981,2.5559907544592733,21.268234252929688,610,0.1964573268921095
8000,2.724212781906128,3.3217959642410277,2.718036257158161,22.224822998046875,698,0.19994270982526496
9000,2.658261446475983,3.003243112564087,2.502831430071914,23.215625762939453,640,0.1932367149758454
10000,2.600121079206467,3.127159309387207,2.4854654700129166,23.562759399414062,710,0.19938219601235607
11000,2.5546846935749055,3.3087995290756225,2.454638600451341,23.662097930908203,574,0.19637358877865208
12000,2.5202506713867185,3.3794313430786134,2.8753933091568062,24.51759147644043,629,0.19473684210526315
13000,2.4897179305553436,3.6116440296173096,2.3750464791828096,26.340091705322266,602,0.20228494623655913
14000,2.454945054650307,3.09072003364563,2.620635428023959,24.35057258605957,568,0.20084865629420084
15000,2.4310883188247683,3.2835525274276733,2.8732048744449665,24.72960662841797,588,0.18631178707224336
16000,2.404349154472351,3.4821499824523925,2.23954632974967,28.23041343688965,750,0.20891364902506965
17000,2.3660790268182756,3.530589294433594,2.163235267403269,26.212879180908203,808,0.21263157894736842
18000,2.3488798576593397,3.034727621078491,2.498800291167858,25.6928768157959,639,0.19114567753514808
19000,2.3212357724905015,3.0078352451324464,2.5923063170772265,26.453229904174805,646,0.1919191919191919
20000,2.3138046963214873,3.271243453025818,2.5461606500325304,26.335126876831055,613,0.190136476426799
21000,2.281275907754898,3.3719280481338503,2.2503673244216307,25.7047061920166,700,0.1958041958041958
22000,2.268469511151314,3.3069121122360228,2.4313665154981905,26.079421997070312,646,0.19434416365824309
23000,2.255960822701454,3.038200259208679,2.217426144168544,25.78502082824707,659,0.19795734454791228
24000,2.2339528547525407,2.999820613861084,2.2552223931750985,27.630041122436523,693,0.19117241379310346
25000,2.227059842586517,2.951478600502014,2.556159508918591,29.279842376708984,648,0.1914327917282127
26000,2.2205379769802094,2.8411793231964113,2.295882988219034,27.089757919311523,772,0.20353282362246244
27000,2.20341084086895,3.4869569063186647,2.4518406903666503,27.329179763793945,611,0.1998037933289732
28000,2.1874034408330916,2.5235937595367433,2.43280867120778,25.997825622558594,602,0.19609120521172638
29000,2.1757689096927644,3.1118897676467894,2.0993402180054215,24.980127334594727,640,0.19441069258809235
30000,2.164874417066574,2.9712082386016845,2.8888284103908397,27.295825958251953,513,0.18526543878656554
31000,2.1458865104913714,3.3948480129241942,2.2644562356915054,27.066471099853516,760,0.20320855614973263
32000,2.13890519118309,2.747280466556549,2.349852628472882,27.30483627319336,652,0.19853836784409257
33000,2.124710922241211,3.3094082951545714,2.274165634982553,27.97908592224121,612,0.19609099647548864
34000,2.119938821554184,3.028059482574463,2.018115241721917,29.45293617248535,731,0.20238095238095238
35000,2.1093626408576966,2.6760326862335204,2.106053689097585,26.185935974121094,693,0.20251315020455873
36000,2.10817871260643,2.7040767073631287,2.4336305622310768,27.068132400512695,445,0.19082332761578044
37000,2.099060310482979,2.701658320426941,2.0349346472609984,27.393310546875,668,0.19223021582733812
38000,2.0900981419086455,2.8156452536582948,2.2255459705766873,27.17125129699707,690,0.1902398676592225
39000,2.0905902116298676,3.152883541584015,2.4201343940025084,25.845537185668945,572,0.19930313588850174
40000,2.075388066649437,2.7147602677345275,2.166991272030788,26.271991729736328,671,0.19905072678730348
41000,2.0606026536226274,2.8803287148475647,2.30749391079118,27.831045150756836,550,0.18425460636515914
42000,2.056153011202812,2.5700392603874205,1.9581684610086043,27.94530487060547,773,0.21212952799121845
43000,2.053289093017578,2.63243054151535,1.9597584441877776,27.10238265991211,702,0.20166618787704682
44000,2.049192549943924,2.944899523258209,2.1696148944700964,27.26204490661621,684,0.20188902007083825
45000,2.0411055938005447,2.8594071745872496,2.5966330095872916,28.499296188354492,648,0.1859931113662457
