step,loss,grad_norm,logits_max,n_masked,masked_ratio
0,10.937726974487305,2.505248299692611,2.867436170578003,88,0.14890016920473773
10,10.917530059814453,2.478638169677997,2.972898244857788,81,0.13043478260869565
20,10.962480545043945,2.326579735041051,3.118229866027832,86,0.1360759493670886
30,10.939835548400879,2.056302600666308,3.311094284057617,105,0.1640625
40,10.940555572509766,2.106847365375804,3.3668644428253174,90,0.15570934256055363
50,10.538033485412598,2.4453969715282824,3.574636697769165,90,0.13177159590043924
60,10.407238006591797,2.1921399228826486,3.5108680725097656,77,0.10694444444444444
70,10.122212409973145,1.8137291729744007,4.074120044708252,99,0.17902350813743217
80,10.241369247436523,1.9081096367053019,4.412143707275391,94,0.14803149606299212
90,10.218857765197754,2.1709437070665683,4.686945915222168,66,0.12915851272015655
100,9.92519760131836,2.408740334275025,4.826671600341797,68,0.1574074074074074
110,9.826412200927734,2.4417001378612615,5.302260398864746,71,0.12305025996533796
120,9.93295669555664,2.4425358390881744,5.710076808929443,77,0.13508771929824562
130,10.258378982543945,3.236951195563885,6.123822212219238,81,0.132569558101473
140,9.790787696838379,2.5333389848864045,6.4210309982299805,85,0.1588785046728972
150,9.870387077331543,2.611065279931457,6.761792182922363,91,0.15881326352530542
160,9.894542694091797,2.5250755341006936,7.133691310882568,101,0.16185897435897437
170,9.91628646850586,3.446136292493169,7.426356315612793,90,0.15463917525773196
180,9.748189926147461,2.8807259675723387,7.583868026733398,125,0.19904458598726116
190,9.823616027832031,3.220487703267575,7.69713020324707,84,0.14261460101867574
200,9.634159088134766,3.1003332804695183,8.175024032592773,118,0.17151162790697674
210,9.559117317199707,2.9257901727519062,8.472870826721191,79,0.14442413162705667
220,9.7080659866333,2.822428220026902,8.524385452270508,89,0.14983164983164984
230,9.507373809814453,3.1368565053323962,8.88862419128418,98,0.15030674846625766
240,9.600628852844238,5.461741035702604,8.9039306640625,77,0.14722753346080306
250,9.547724723815918,4.433515615005276,8.941438674926758,68,0.1261595547309833
260,9.543169975280762,4.349699594561102,9.391618728637695,99,0.16390728476821192
270,9.308570861816406,3.325754728891616,9.609391212463379,95,0.16934046345811052
280,9.406188011169434,2.9683091986806156,9.665328979492188,91,0.13622754491017963
290,9.235183715820312,3.2150755431500544,9.732950210571289,103,0.1645367412140575
