step,loss,grad_norm,logits_max,n_masked,masked_ratio
0,11.133811950683594,2.2856292450685394,2.28212308883667,89,0.13608562691131498
10,10.96352481842041,2.8388057603147185,2.319352626800537,70,0.11864406779661017
20,10.97146224975586,3.3352258254609315,2.6711394786834717,64,0.12237093690248566
30,11.029521942138672,2.720110357294936,2.935079574584961,85,0.12898330804248861
40,11.036579132080078,2.672314830392369,2.95393443107605,84,0.13680781758957655
50,10.823190689086914,2.662221340208529,3.0960936546325684,80,0.1282051282051282
60,10.604215621948242,2.6303142893718103,2.8225183486938477,71,0.11414790996784566
70,10.370220184326172,2.1056355428437468,3.413503885269165,91,0.15397631133671744
80,10.486881256103516,2.089809505621059,3.884970188140869,88,0.1414790996784566
90,10.43016242980957,2.0894408554821484,4.223293304443359,113,0.18403908794788273
100,10.306465148925781,2.136080360390807,4.381410121917725,101,0.15052160953800298
110,10.09408950805664,2.011628666642747,4.612471103668213,100,0.13966480446927373
120,10.188971519470215,2.723287999596422,4.605813503265381,55,0.1111111111111111
130,10.255472183227539,2.7176457502848965,4.396012306213379,67,0.1141396933560477
140,10.179903030395508,2.650918809070967,4.999229431152344,81,0.1431095406360424
150,9.97449016571045,2.999098376979401,4.925812244415283,78,0.12641815235008103
160,10.069875717163086,4.007027660381273,5.31541633605957,94,0.12702702702702703
170,10.113969802856445,3.4709693416618745,5.128232479095459,92,0.1619718309859155
180,10.136026382446289,2.7095207735477103,5.542675971984863,92,0.1435257410296412
190,10.041147232055664,3.8227650052885336,5.528713226318359,92,0.1411042944785276
200,9.897295951843262,5.34213943426073,5.511362552642822,80,0.13157894736842105
210,10.02029800415039,3.0840954929543516,5.882197380065918,88,0.13414634146341464
220,9.876053810119629,3.9618331604676507,5.977648735046387,84,0.1320754716981132
230,10.021087646484375,7.397868075448414,6.339941501617432,85,0.1445578231292517
240,9.994112968444824,6.843715730796135,6.001692771911621,85,0.137987012987013
250,9.69797134399414,3.75768554071861,6.138442516326904,85,0.1321928460342146
260,9.702117919921875,5.000832427397729,6.020228385925293,72,0.11920529801324503
270,9.699823379516602,3.9034090890415536,6.072150230407715,97,0.1432791728212703
280,9.657649040222168,4.24717507600773,6.325199127197266,99,0.15348837209302327
290,9.717026710510254,3.7856148100064426,6.222589015960693,91,0.1439873417721519
