step,loss,grad_norm,logits_max,n_masked,masked_ratio
0,10.779375076293945,2.0861712395329666,2.417692184448242,530,0.15406976744186046
10,10.076997756958008,1.4625158956088045,2.6033618450164795,486,0.15149625935162095
20,9.285691261291504,1.3282974318304959,2.5565390586853027,537,0.1526001705029838
30,8.433531761169434,1.4335395637568429,2.9494268894195557,458,0.15631399317406144
40,7.4737443923950195,1.4669886762867796,3.38832426071167,461,0.14639568116862495
50,6.940805912017822,1.1878052726249388,3.9031710624694824,541,0.14834110227584316
60,6.219717025756836,1.1506120640176198,4.516456127166748,502,0.15337610754659334
70,5.921120643615723,0.9473187164614659,5.002561569213867,504,0.14416475972540047
80,5.652638912200928,1.040140429788285,5.485905647277832,470,0.14835858585858586
90,5.741738319396973,0.8644974574863565,5.733070373535156,510,0.14995589532490444
100,5.531169891357422,0.9734470781403599,6.0411176681518555,501,0.1404541631623213
110,5.50779914855957,1.0471504634884803,6.154501438140869,474,0.14674922600619195
120,5.824767112731934,1.0041006451487873,6.283721446990967,553,0.16066240557815223
130,5.566418647766113,1.0751810574151708,6.257565498352051,436,0.14900888585099112
140,5.652266025543213,0.9186980693269255,6.38167142868042,476,0.14959145191703332
150,5.593235969543457,2.0232486879075195,6.520564079284668,523,0.15054691997697178
160,5.548552513122559,1.5851478865798492,6.69230318069458,491,0.15572470662860768
170,5.447383880615234,1.031188806435495,6.762245178222656,508,0.1502958579881657
180,5.587602138519287,1.1011648222380834,6.734106540679932,359,0.147493837304848
190,5.483098030090332,1.242619412186868,6.977687358856201,493,0.149077713940127
200,5.341881275177002,1.0882932732389217,7.073361873626709,498,0.15063520871143377
210,5.723272323608398,1.1385925551399905,7.2216715812683105,428,0.14055829228243022
220,5.663623809814453,2.3436411698495676,7.292818069458008,525,0.15346389944460684
230,5.3595685958862305,1.5019244783474286,7.520076751708984,541,0.1454301075268817
240,5.716568470001221,1.8906750353089443,7.593967914581299,487,0.15185531649516681
250,5.570699691772461,1.2687475799972903,7.63926887512207,421,0.13926563016870658
260,5.3128252029418945,1.7218878068991865,7.833086013793945,453,0.14608190906159305
270,5.508307456970215,2.028754189833263,7.784133434295654,431,0.15294535131298795
280,5.300219535827637,1.127667423442796,7.946246147155762,410,0.15454202789295138
290,5.240018844604492,1.12732791512726,7.962063789367676,522,0.16116085211485026
300,5.167552947998047,1.830800452309909,8.142805099487305,497,0.15473225404732255
310,5.672149658203125,1.3710215499255123,8.090203285217285,453,0.14294730198800884
320,5.310894012451172,1.1962492481098914,8.19461727142334,473,0.13911764705882354
330,5.390617847442627,1.4313515292410575,8.405294418334961,400,0.15384615384615385
340,5.484960556030273,1.5769262801270902,8.593942642211914,407,0.14029644950017237
350,5.051203727722168,1.2374201690664222,8.577523231506348,377,0.14516750096264922
360,5.156628608703613,1.4436845717749713,8.604846000671387,508,0.14827787507297138
370,5.4242167472839355,1.32675263921355,8.687944412231445,528,0.15133276010318142
380,5.090662002563477,1.7131598391464518,8.798948287963867,453,0.14477468839884947
390,5.145299911499023,1.5208061734795997,8.783921241760254,537,0.1487946799667498
400,4.972113132476807,1.6710975855934844,8.898771286010742,541,0.1508644729503625
410,5.199306488037109,1.671400110122336,9.06164836883545,484,0.14684466019417475
420,5.085001468658447,2.1085024428273726,8.95291805267334,459,0.14484064373619437
430,5.084130764007568,1.9503476552725207,9.0530366897583,477,0.1530317613089509
440,4.922106742858887,1.4819864478131408,9.112753868103027,481,0.13641520136131594
450,5.0538129806518555,1.3773054402903953,9.090628623962402,405,0.15179910044977513
460,5.033711910247803,1.5011948901394458,9.174044609069824,541,0.15599769319492504
470,5.280634880065918,1.6736576311919282,9.20935344696045,489,0.14720048163756774
480,5.061232566833496,1.439906309680603,9.364051818847656,463,0.13949984935221452
490,4.958840370178223,1.4796204327027305,9.403715133666992,506,0.14692218350754935
500,5.082568168640137,1.524150077678941,9.367124557495117,494,0.14960629921259844
510,5.158292770385742,1.463788960691883,9.512702941894531,461,0.13893911995177818
520,5.2631754875183105,1.5930033754707633,9.596240043640137,478,0.16608756080611536
530,5.349643707275391,2.004698817631925,9.60539436340332,442,0.14977973568281938
540,5.420918941497803,2.8713601936468005,9.750226974487305,504,0.1497326203208556
550,4.983281135559082,2.0471404993426923,9.710493087768555,555,0.1571347678369196
560,4.92940616607666,1.4615128759473894,9.820199012756348,552,0.15436241610738255
570,4.9469075202941895,2.407014056136028,9.776034355163574,518,0.14
580,4.895605087280273,1.729834840480776,9.84456729888916,436,0.14533333333333334
590,5.105605125427246,1.4178544459098739,9.862905502319336,529,0.1451701427003293
600,4.695613861083984,2.0311079828248575,9.898628234863281,483,0.14766126566799145
610,5.1942973136901855,1.609901839501595,9.91518783569336,492,0.16010413276928084
620,4.825404644012451,1.5512754718317137,9.890728950500488,433,0.14281002638522428
630,5.231435775756836,2.492742666618761,10.025301933288574,462,0.14514608859566447
640,5.029162883758545,2.236529306687069,9.9901762008667,572,0.14923036785807461
650,5.059616565704346,2.108514168568785,10.076261520385742,526,0.15132336018411968
660,5.258415699005127,4.024323042872511,10.10603141784668,475,0.14049097900029578
670,5.049574851989746,1.3801734008774267,10.096822738647461,504,0.1556997219647822
680,4.970794677734375,1.9565939446983698,10.229117393493652,522,0.14821124361158433
690,4.898680686950684,1.9388103045951062,10.321784973144531,464,0.1419828641370869
700,4.924025535583496,1.3955172188655298,10.289724349975586,521,0.15547597732020293
710,4.591137409210205,1.475322933982133,10.449557304382324,505,0.15178839795611662
720,4.9248270988464355,2.0583417791611245,10.289244651794434,469,0.14808967477107673
730,4.746065616607666,1.9071153886465049,10.429266929626465,537,0.16140667267808836
740,4.926479816436768,2.186106302771892,10.32020378112793,550,0.15831894070236038
750,4.77855920791626,2.1456027522275964,10.36128044128418,497,0.15006038647342995
760,5.090743541717529,1.4384146585133972,10.590474128723145,529,0.14694444444444443
770,5.1076884269714355,1.8668106312948103,10.554612159729004,533,0.15280963302752293
780,4.8389573097229,1.8619192763013102,10.629889488220215,474,0.15143769968051118
790,4.831850528717041,1.7781781836621837,10.50494384765625,515,0.14655663062037563
800,4.887567043304443,1.7461909411506422,10.614131927490234,506,0.15140634350688212
810,4.921205997467041,2.090086598777103,10.582718849182129,501,0.1407698791795448
820,4.8217291831970215,1.9870752486430663,10.618572235107422,525,0.1502575844304522
830,4.869318962097168,1.6417381713270747,10.717118263244629,476,0.16026936026936026
840,4.881277084350586,2.2276187197697492,10.659070014953613,436,0.14941740918437285
850,4.965948104858398,1.8716147032625479,10.649127960205078,510,0.15301530153015303
860,4.742217063903809,1.8079337865707288,10.833035469055176,499,0.14339080459770115
870,4.629842758178711,2.15415418580975,10.841775894165039,449,0.14961679440186604
880,5.007474899291992,2.2480059423793293,10.75268268585205,550,0.15687393040501996
890,4.901671409606934,1.722857523044139,10.91983699798584,550,0.1469017094017094
900,4.6296305656433105,2.031920740099415,11.129462242126465,552,0.14700399467376832
910,4.730113506317139,1.644018612747873,11.11767578125,568,0.15438977983147595
920,4.5830559730529785,1.6545885000472556,11.096978187561035,570,0.15376315079579175
930,4.6692914962768555,2.026062596848165,11.042972564697266,447,0.14934847978616772
940,4.954100608825684,1.651277101784333,11.016358375549316,483,0.14703196347031963
950,4.717291831970215,2.0840276437799496,10.95224666595459,448,0.14372794353545076
960,4.890695571899414,2.070228609381014,11.153166770935059,531,0.1625842008573178
970,4.738996982574463,2.0209015438507456,11.338940620422363,536,0.15358166189111747
980,4.986201286315918,2.10886229205419,11.194198608398438,485,0.14582080577269993
990,4.550999641418457,1.5631406615970418,11.183514595031738,508,0.14849459222449576
