step,loss,val_loss,grad_norm,logits_max,n_masked,masked_ratio
0,11.229109764099121,11.153041648864747,2.1360364477400333,1.6648350954055786,480,0.15409309791332262
1000,5.546116933345795,5.930567264556885,1.7975256556255061,13.735918045043945,528,0.15181138585393905
2000,4.416489050865174,4.639477825164795,3.0464533648806955,15.384077072143555,470,0.14831177027453454
3000,3.6973943755626677,4.389358854293823,3.139086383758455,17.113004684448242,478,0.14058823529411765
4000,3.198108753442764,4.401895332336426,2.822882244115267,18.752321243286133,528,0.15317667536988686
5000,2.9487996668815613,4.067528891563415,2.7703335119164127,18.930551528930664,561,0.1560066740823137
6000,2.784618042945862,3.794857406616211,2.9957451793754495,19.259288787841797,565,0.15655306178996953
7000,2.6552115304470063,3.972925400733948,3.0740141220835735,20.087099075317383,447,0.14396135265700483
8000,2.538369470834732,3.3765615701675413,2.6956949283023026,20.49832534790039,542,0.15525637353193927
9000,2.4742109000682833,2.8782445430755614,2.423443883858188,21.07099151611328,486,0.14673913043478262
10000,2.3997802208662034,3.077103781700134,2.3956697587510445,20.863691329956055,479,0.13451277730974445
11000,2.340396090745926,3.220825457572937,2.7550175662664236,21.53757095336914,427,0.1460827916524119
12000,2.2994275327920914,3.2267188310623167,2.625245018037569,21.862138748168945,518,0.16037151702786379
13000,2.245966879606247,3.5268568277359007,2.6903577727588956,21.737695693969727,447,0.1502016129032258
14000,2.203219815135002,2.793086349964142,2.6072327192157156,21.95948028564453,429,0.1516973125884017
15000,2.1622807425260544,2.9966975688934325,2.79779909890328,21.96018409729004,422,0.13371356147021546
16000,2.133380290389061,3.061138331890106,2.4114088171645833,22.053577423095703,553,0.1540389972144847
17000,2.107967526674271,3.3251683712005615,2.318290343240141,23.386260986328125,538,0.14157894736842105
18000,2.0785036686658858,2.850084376335144,2.8240454489465128,23.11648941040039,489,0.1462758001794795
19000,2.056469349384308,2.6771573185920716,2.3461141366167007,22.589853286743164,490,0.14557338086749852
20000,2.037842362523079,2.9314529299736023,2.337384870586739,22.175291061401367,476,0.14764267990074442
21000,1.9997436544895173,2.9259190797805785,2.4840138684929722,23.6654052734375,495,0.13846153846153847
22000,1.9808008712530136,3.0263545870780946,2.2212184009094544,22.24242401123047,497,0.14951865222623345
23000,1.9707123519182206,2.7206693649291993,2.4364841845723455,23.264896392822266,508,0.15259837789125863
24000,1.9529469709396363,2.7054999828338624,2.299206328824965,22.87166404724121,517,0.1426206896551724
