step,loss,grad_norm,logits_max,n_masked,masked_ratio
   0,10.7923,1.904,2.469,1002,0.152
  10,9.9944,1.338,2.567,1019,0.151
  20,9.1636,1.303,2.739,949,0.150
  30,8.2813,1.246,3.139,1041,0.148
  40,7.3332,1.336,3.704,924,0.147
  50,6.5718,1.194,4.228,1038,0.146
  60,6.3975,0.851,4.969,1049,0.150
  70,5.8679,0.925,5.513,988,0.158
  80,6.0405,0.669,5.812,948,0.152
  90,5.8216,0.686,6.020,947,0.157
 100,5.4781,0.722,6.244,864,0.145
 110,5.7637,0.636,6.423,968,0.146
 120,5.6804,0.589,6.586,1045,0.157
 130,5.5237,0.860,6.745,904,0.148
 140,5.4186,0.989,6.892,735,0.140
 150,5.4824,0.820,6.968,924,0.153
 160,5.6151,0.792,7.032,991,0.148
 170,5.6208,0.764,7.045,842,0.147
 180,5.4563,0.807,7.202,938,0.145
 190,5.3802,0.895,7.358,953,0.145
 200,5.1259,0.961,7.429,1034,0.148
 210,5.3452,1.049,7.516,922,0.149
 220,5.2332,1.306,7.626,951,0.148
 230,5.4027,1.675,7.784,1014,0.149
 240,5.2568,1.673,7.903,983,0.151
 250,5.2579,1.194,8.078,959,0.146
 260,5.1884,0.916,8.159,996,0.154
 270,5.5975,1.527,8.217,978,0.147
 280,5.0705,1.952,8.207,929,0.146
 290,5.1561,1.440,8.285,873,0.144
 300,5.1288,1.756,8.375,1039,0.149
 310,5.2201,1.943,8.567,901,0.145
 320,5.1414,1.082,8.698,1007,0.145
 330,5.2294,1.044,8.765,994,0.153
 340,5.1015,0.953,8.845,1064,0.153
 350,5.3144,1.602,8.978,919,0.147
 360,5.0181,1.055,9.036,911,0.156
 370,5.1555,1.235,9.082,894,0.142
 380,5.2001,1.397,9.232,988,0.148
 390,5.0814,1.929,9.313,880,0.145
 400,5.1640,1.216,9.315,1073,0.156
 410,5.0792,1.351,9.367,1023,0.151
 420,5.0290,0.980,9.446,1025,0.156
 430,5.0115,1.209,9.604,1003,0.151
 440,5.2639,1.222,9.570,1020,0.144
 450,4.9485,1.103,9.644,1004,0.139
 460,4.7903,0.962,9.717,1027,0.149
 470,5.0071,1.012,9.764,972,0.143
 480,4.9147,1.065,9.937,1002,0.149
 490,5.0628,1.333,9.920,986,0.150
 500,4.8324,1.242,9.930,901,0.150
 510,4.8950,1.146,10.072,1075,0.150
 520,4.8860,1.612,10.120,891,0.152
 530,4.9476,1.236,10.087,885,0.151
 540,5.0455,1.963,10.180,1059,0.145
 550,4.8734,1.970,10.321,991,0.150
 560,5.0257,1.220,10.267,914,0.143
 570,4.8745,1.074,10.395,878,0.151
 580,4.8853,1.221,10.496,964,0.148
 590,5.0250,1.464,10.471,933,0.152
 600,4.8837,1.669,10.553,843,0.146
 610,5.0243,2.691,10.579,893,0.147
 620,4.6852,1.755,10.588,898,0.141
 630,4.7440,2.325,10.647,945,0.148
 640,4.9355,1.407,10.688,932,0.152
 650,4.8051,1.309,10.719,1034,0.154
 660,4.7744,1.238,10.788,1025,0.152
 670,4.8532,1.754,10.836,1036,0.146
 680,4.6690,1.254,10.839,837,0.148
 690,4.8368,1.644,10.840,957,0.153
 700,4.8738,1.550,10.944,932,0.148
 710,4.7094,1.293,10.955,938,0.147
 720,4.7255,1.523,11.029,941,0.143
 730,4.5486,1.504,11.009,1016,0.149
 740,4.6845,1.976,11.015,1070,0.148
 750,4.5630,1.769,11.129,987,0.144
 760,4.6702,1.207,11.116,945,0.140
 770,4.8796,1.697,11.178,840,0.146
 780,4.7201,1.185,11.163,1041,0.152
 790,4.8268,1.400,11.318,1109,0.153
 800,4.6037,1.645,11.425,1114,0.153
 810,4.7420,1.638,11.166,903,0.144
 820,4.6266,1.463,11.369,1037,0.148
 830,4.5753,1.419,11.320,1031,0.149
 840,4.5697,1.543,11.477,978,0.157
 850,4.6504,1.776,11.492,975,0.150
 860,4.5316,1.574,11.493,856,0.151
 870,4.6959,1.758,11.485,998,0.155
 880,4.6779,1.731,11.551,889,0.144
 890,4.4419,1.494,11.590,940,0.150
 900,4.3876,1.556,11.632,987,0.147
 910,4.5724,2.086,11.690,859,0.145
 920,4.6142,1.677,11.624,862,0.146
 930,4.6117,1.587,11.577,929,0.146
 940,4.6962,2.068,11.759,947,0.154
 950,4.5185,1.493,11.664,965,0.152
 960,4.4615,1.607,11.868,945,0.141
 970,4.4715,1.811,11.838,827,0.146
 980,4.5771,1.628,11.880,903,0.144
 990,4.6687,1.705,11.756,1023,0.152
