step,loss,val_loss,grad_norm,logits_max,n_masked,masked_ratio
0,10.805330276489258,10.903997802734375,1.9847665447792155,2.3705179691314697,456,0.13455296547654175
1000,5.455591684818268,6.552948522567749,2.38087950093793,10.939850807189941,377,0.11874015748031497
2000,4.554062460660934,5.631138896942138,2.542769256327496,12.953816413879395,518,0.14030335861321777
3000,4.04796120262146,5.519564962387085,3.652485889871399,14.089263916015625,338,0.11380471380471381
4000,3.700721967220306,4.818861722946167,3.5138120104697936,15.445572853088379,428,0.133708216182443
5000,3.418242678642273,4.0511253595352175,3.155102992818159,15.986358642578125,466,0.13762551683402244
6000,3.2431158516407015,4.528608250617981,3.37883072124473,17.281841278076172,410,0.13416230366492146
7000,3.133540138721466,4.262777519226074,3.0729530157742433,17.17179298400879,383,0.11920323685029567
8000,3.022220304250717,4.683632135391235,3.8228320334150228,18.312604904174805,408,0.11971830985915492
9000,2.944649770498276,4.428290057182312,4.868125823263364,19.005868911743164,327,0.11237113402061856
10000,2.8840748779773713,4.539411497116089,2.9138542244211565,20.29576301574707,467,0.13381088825214899
11000,2.8150214602947234,3.9775063514709474,2.8761152448665728,20.0272159576416,538,0.13901808785529715
12000,2.7808875000476836,4.3583942413330075,3.1999586927203763,20.280065536499023,382,0.13077713111947964
13000,2.746244466304779,4.140940833091736,3.3252325817695443,22.167484283447266,414,0.1271889400921659
14000,2.7186825709342957,3.6400257349014282,2.6553949916633495,23.429370880126953,469,0.13181562675660483
15000,2.689419638156891,3.9746191024780275,2.511282045202014,22.509784698486328,444,0.13093482748451785
16000,2.6738473699092866,3.7322263717651367,2.9967962185693975,21.423784255981445,496,0.14678899082568808
17000,2.6444034764766693,3.7791433334350586,2.798689903542959,22.285974502563477,505,0.13689346706424504
18000,2.6378419442176817,4.011469221115112,2.7341211133067405,22.335250854492188,495,0.14281592613964225
19000,2.6144615718126296,4.200298428535461,3.054524479531684,23.71297836303711,318,0.10205391527599486
20000,2.596709453344345,3.992450547218323,3.166313552274385,22.679311752319336,318,0.10808973487423522
21000,2.5604115806818006,3.8538688898086546,2.6102759864067138,22.42607879638672,470,0.13623188405797101
22000,2.5712649610042573,3.569407844543457,3.458660358990437,22.794818878173828,326,0.11430575035063113
23000,2.5561694273948667,4.356650424003601,2.7925534236961465,23.421287536621094,382,0.1173939766441303
24000,2.5332566492557524,3.7265018224716187,2.7453055661781716,22.264995574951172,419,0.1284881938055811
25000,2.5265322760343554,3.6071709394454956,2.565073567457747,22.282573699951172,469,0.134
26000,2.5190288367271423,3.9865410804748533,3.111175757611401,26.00200080871582,446,0.1307534447376136
27000,2.5035493500232695,4.071270942687988,2.7968939598592737,24.693199157714844,439,0.128701260627382
28000,2.5003633015155793,3.3577295780181884,3.0008344527074513,24.06292152404785,285,0.10824154956323585
29000,2.4857458871603013,4.037830829620361,2.722092909503059,25.244735717773438,454,0.13883792048929663
30000,2.4671631153821947,3.967506742477417,2.6498685412479817,23.906944274902344,378,0.12945205479452054
31000,2.4665752630233766,3.741414737701416,2.5471398619028607,24.416622161865234,422,0.13371356147021546
32000,2.455143622636795,3.891416883468628,3.0042906147434314,24.942121505737305,475,0.1358695652173913
33000,2.4484409749507905,3.7408677101135255,2.92853480096986,24.35132598876953,373,0.13326187924258664
34000,2.433790574193001,3.942164897918701,2.8648860041829716,25.9471492767334,462,0.13177410154021676
35000,2.4290433346033096,3.7829360008239745,2.3492359682495083,23.54408073425293,580,0.14894709809964046
36000,2.425395965218544,3.819019103050232,2.4647450160425293,25.66098403930664,497,0.13505434782608697
37000,2.419005525946617,3.786130928993225,2.718902463845302,25.291582107543945,448,0.12880966072455435
38000,2.402831037044525,3.8800042629241944,2.45854778190298,25.556472778320312,429,0.12525547445255475
39000,2.410457243680954,4.358173584938049,2.480369600920134,24.308610916137695,467,0.13540156567120903
40000,2.3927181552648547,3.6451403379440306,2.575036168407515,27.194169998168945,422,0.12608305945622947
41000,2.389187701702118,3.6859554767608644,2.598402801757403,23.583023071289062,417,0.1251500600240096
42000,2.377343136429787,3.2346713542938232,2.878893654461234,24.643295288085938,429,0.13511811023622047
43000,2.3783950939178466,3.1639626741409304,2.571088035747859,23.11132049560547,490,0.1410071942446043
44000,2.3624862353801728,3.8270469665527345,2.601160292118991,24.439159393310547,413,0.13554315720380702
45000,2.3656095165014266,3.778262901306152,2.2746799806150886,26.21315574645996,485,0.1322246455834242
46000,2.3608522993326186,3.3581088304519655,2.793191578790785,24.226362228393555,347,0.11493872143093739
47000,2.3604975898265836,3.754719614982605,2.497788715697136,24.50444221496582,412,0.12064421669106881
48000,2.346781739592552,3.462887406349182,2.652640249704966,25.050708770751953,381,0.12003780718336483
49000,2.3479746197462084,3.543664050102234,2.4057344738244915,23.079833984375,417,0.12455197132616487
50000,2.3284873876571655,3.4904820680618287,2.8419374935927624,24.346996307373047,326,0.11543909348441926
51000,2.335542488694191,3.898016929626465,3.387268688421982,23.192317962646484,298,0.11136023916292975
52000,2.329292382478714,3.7158224821090697,2.5809969677657985,24.972475051879883,482,0.13783242779525307
53000,2.318480021476746,3.2961072444915773,2.43048837560237,23.10765838623047,498,0.14220445459737294
54000,2.317745617032051,3.516569638252258,2.5827715895734014,26.764446258544922,426,0.1257378984651712
55000,2.3257965928316118,3.771235966682434,2.740619473503069,22.562782287597656,411,0.13357166070848228
56000,2.3051953836679457,3.256680905818939,2.6059956681235517,26.35986328125,389,0.12572721396250808
57000,2.3181539455652236,3.588593006134033,2.521460606499464,26.193769454956055,411,0.13156209987195902
58000,2.306496374487877,3.6084742069244387,2.19042436559209,24.983959197998047,470,0.13540766349755115
59000,2.3001757946014405,3.6797834396362306,2.5249889345434386,25.59618377685547,410,0.1181896800230614
